# r/g(r)/dn[At1,At2]:      g(r)[ C, C]            dn(r)
          5.932      1.1342990591     19.6421224490
          5.951      1.1065104529     19.8428571429
          5.969      1.0155464350     20.0282448980
          5.988      0.9834633522     20.2088979592
          6.007      1.0272803862     20.3987755102
          6.025      0.9748520616     20.5800816327
          6.044      1.0024422212     20.7676734694
          6.063      1.0621915171     20.9676734694
          6.081      1.0944755841     21.1750204082
          6.100      1.1464747568     21.3935510204
          6.118      1.1876054771     21.6213061224
          6.137      1.2142547115     21.8555918367
          6.156      1.2384575124     22.0960000000
          6.174      1.2681985532     22.3436734694
          6.193      1.1218097474     22.5640816327
          6.212      1.1097233807     22.7834285714
          6.230      1.1318353925     23.0084897959
          6.249      1.0700064326     23.2225306122
          6.267      1.1050341973     23.4448979592
          6.286      1.0884139120     23.6652244898
          6.305      1.0555341019     23.8801632653
          6.323      1.1214587237     24.1098775510
          6.342      1.1426146371     24.3453061224
          6.361      1.0910310599     24.5714285714
          6.379      1.0791872974     24.7964081633
          6.398      1.0631804506     25.0193469388
          6.416      1.0078625179     25.2319183673
          6.435      1.0466743205     25.4539591837
          6.454      0.9909050837     25.6653877551
          6.472      1.0129787166     25.8827755102
          6.491      1.0204110531     26.1030204082
          6.510      1.0115717568     26.3226122449
          6.528      0.9732779865     26.5351020408
          6.547      0.9662608857     26.7472653061
          6.565      0.9223400940     26.9509387755
          6.584      0.9017192466     27.1510204082
          6.603      0.8813763276     27.3462857143
          6.621      0.9094220365     27.5471836735
          6.640      0.9413667946     27.7545306122
          6.659      0.9820804379     27.9702040816
          6.677      0.9958528291     28.1882448980
          6.696      0.9996439619     28.4064489796
          6.714      1.0458815820     28.6340408163
          6.733      0.9456795361     28.8391836735
          6.752      0.9717182566     29.0493061224
          6.770      0.9987136610     29.2645714286
          6.789      1.0635347661     29.4930612245
          6.808      1.0701094501     29.7222040816
          6.826      1.0461629793     29.9454693878
          6.845      1.1115172801     30.1818775510
          6.863      1.1330669453     30.4220408163
          6.882      1.1841771726     30.6721632653
          6.901      1.1666504405     30.9177142857
          6.919      1.2000286107     31.1693877551
          6.938      1.2332984300     31.4271020408
          6.957      1.2641095592     31.6902857143
          6.975      1.2263204988     31.9446530612
          6.994      1.2258184470     32.1979591837
          7.012      1.1020262998     32.4248163265
          7.031      1.0796265339     32.6462040816
          7.050      1.0423019383     32.8591020408
          7.068      1.0424352061     33.0711836735
          7.087      1.0458290068     33.2831020408
          7.106      0.9720266746     33.4792653061
          7.124      1.0528110098     33.6908571429
          7.143      1.0882159726     33.9086530612
          7.161      1.1268258702     34.1332244898
          7.180      1.1690971453     34.3652244898
          7.199      1.2059923603     34.6035102041
          7.217      1.1731245049     34.8342857143
          7.236      1.1179157879     35.0532244898
          7.255      1.1418049979     35.2758367347
          7.273      1.1407165257     35.4972244898
          7.292      1.0678238010     35.7035102041
          7.310      1.0392916597     35.9033469388
          7.329      1.0834705216     36.1106938776
          7.348      1.1353994981     36.3269387755
          7.366      1.1000117380     36.5354285714
          7.385      1.0599895053     36.7353469388
          7.404      1.0457084291     36.9315918367
          7.422      1.0081523743     37.1198367347
          7.441      1.0155125004     37.3084897959
          7.459      1.0362388838     37.5000000000
          7.478      0.9626450391     37.6769795918
          7.497      0.9628550850     37.8530612245
          7.515      0.9227138446     38.0208979592
          7.534      0.8149378380     38.1683265306
          7.553      0.7858642259     38.3097142857
          7.571      0.8030372793     38.4533877551
          7.590      0.7740918250     38.5911020408
          7.608      0.7356165250     38.7212244898
          7.627      0.7101861777     38.8461224490
          7.646      0.7092323239     38.9701224490
          7.664      0.6890387499     39.0898775510
          7.683      0.7092679446     39.2124081633
          7.702      0.7164614604     39.3354285714
          7.720      0.7280790506     39.4596734694
          7.739      0.7273568728     39.5830204082
          7.757      0.7281095311     39.7057142857
          7.776      0.7332908183     39.8284897959
          7.795      0.7714508023     39.9568163265
          7.813      0.7172768270     40.0753469388
          7.832      0.7633626033     40.2006530612
          7.851      0.8121086341     40.3330612245
          7.869      0.7667828372     40.4572244898
          7.888      0.7706099610     40.5811428571
          7.906      0.7760590590     40.7050612245
          7.925      0.9422701503     40.8544489796
          7.944      0.9849009840     41.0094693878
          7.962      0.9634173432     41.1600000000
          7.981      0.9442899535     41.3064489796
          8.000      0.9270389800     41.4491428571
          8.018      0.8422315214     41.5777959184
          8.037      0.7712282511     41.6946938776
          8.055      0.8044509116     41.8156734694
          8.074      0.7567155505     41.9285714286
          8.093      0.7170700742     42.0346938776
          8.111      0.7518865208     42.1450612245
          8.130      0.7161012850     42.2493061224
          8.149      0.7690986047     42.3603265306
          8.167      0.7568786704     42.4686530612
          8.186      0.7134162875     42.5698775510
          8.204      0.6889583025     42.6667755102
          8.223      0.7250030094     42.7678367347
          8.242      0.7357372274     42.8694693878
          8.260      0.7109226828     42.9667755102
          8.279      0.7205976090     43.0644897959
          8.298      0.6764061327     43.1553469388
          8.316      0.6970548495     43.2480816327
          8.335      0.7131882463     43.3420408163
          8.353      0.6952622004     43.4327346939
          8.372      0.7206296689     43.5257959184
          8.391      0.7663548094     43.6237551020
          8.409      0.7866182066     43.7232653061
          8.428      0.7864864914     43.8217142857
          8.447      0.8773633907     43.9303673469
          8.465      0.8796472918     44.0381224490
          8.484      0.9588493104     44.1542857143
          8.502      0.9206430733     44.2645714286
          8.521      1.0139600878     44.3846530612
          8.540      1.0718604881     44.5101224490
          8.558      1.1594296749     44.6442448980
          8.577      1.1549095013     44.7762448980
          8.596      1.0917849129     44.8995102041
          8.614      1.0615588365     45.0178775510
          8.633      1.1255380964     45.1417959184
          8.651      1.1544468078     45.2672653061
          8.670      1.1316832833     45.3886530612
          8.689      1.1623753866     45.5116734694
          8.707      1.1986796482     45.6368163265
          8.726      1.1766159130     45.7579591837
          8.745      1.1741108678     45.8771428571
          8.763      1.0329153881     45.9804897959
          8.782      0.9753812993     46.0766530612
          8.800      0.9699748885     46.1708571429
          8.819      0.8868039185     46.2556734694
          8.838      0.8565698888     46.3363265306
          8.856      0.8650723532     46.4164897959
          8.875      0.8954110222     46.4981224490
          8.894      0.9140910490     46.5800816327
          8.912      0.8918111047     46.6586938776
          8.931      0.8056884598     46.7284897959
          8.949      0.6992830623     46.7880000000
          8.968      0.6300666166     46.8406530612
          8.987      0.6876859174     46.8970612245
          9.005      0.7232337549     46.9552653061
          9.024      0.8150652638     47.0195918367
          9.043      0.8304750284     47.0838367347
          9.061      0.7830507826     47.1431836735
          9.080      0.8568890827     47.2067755102
          9.098      1.0070834019     47.2799183673
          9.117      1.0928443659     47.3575510204
          9.136      0.9781014466     47.4254693878
          9.154      1.0903029703     47.4994285714
          9.173      1.0552153906     47.5693061224
          9.192      1.1195791281     47.6416326531
          9.210      1.1692392914     47.7152653061
          9.229      1.2762373866     47.7935510204
          9.247      1.1991909832     47.8651428571
          9.266      1.1994857669     47.9347755102
          9.285      1.0682296343     47.9950204082
          9.303      0.9709168981     48.0481632653
