# r/g(r)/dn[At1,At2]:      g(r)[ H, N]            dn(r)
          6.361      1.1107452757     22.7874210526
          6.379      1.1174178313     23.0110526316
          6.398      1.1166732388     23.2358421053
          6.416      1.0836860033     23.4552631579
          6.435      1.0797478687     23.6751578947
          6.454      1.0663300394     23.8935789474
          6.472      1.0476836784     24.1094210526
          6.491      1.0620002798     24.3294736842
          6.510      1.0392631048     24.5460526316
          6.528      1.0308302361     24.7621052632
          6.547      0.9890180488     24.9705789474
          6.565      1.0099799139     25.1846842105
          6.584      0.9972187612     25.3971052632
          6.603      0.9435789994     25.5977894737
          6.621      0.9207442686     25.7930526316
          6.640      0.9025353330     25.9838947368
          6.659      0.8710166788     26.1675263158
          6.677      0.8686340071     26.3501052632
          6.696      0.8476789921     26.5277368421
          6.714      0.8608866620     26.7075789474
          6.733      0.8436243174     26.8832631579
          6.752      0.8488452520     27.0594736842
          6.770      0.8386119806     27.2330000000
          6.789      0.8727425566     27.4130000000
          6.808      0.9035427380     27.5987368421
          6.826      0.9415150153     27.7916315789
          6.845      0.9398219421     27.9835263158
          6.863      0.9709981999     28.1811052632
          6.882      0.9723149239     28.3782631579
          6.901      0.9874792001     28.5777894737
          6.919      0.9659258154     28.7722631579
          6.938      1.0163995588     28.9761578947
          6.957      1.0051319938     29.1770526316
          6.975      1.0215680267     29.3804736842
          6.994      0.9912027524     29.5771052632
          7.012      1.0003229910     29.7747894737
          7.031      0.9975171433     29.9711578947
          7.050      1.0153915720     30.1702631579
          7.068      1.0062259004     30.3667894737
          7.087      1.0760261868     30.5761052632
          7.106      1.0453716797     30.7786315789
          7.124      1.0406896077     30.9794210526
          7.143      1.0387447797     31.1790000000
          7.161      1.0808352553     31.3857894737
          7.180      1.0644782452     31.5885789474
          7.199      1.0721581078     31.7919473684
          7.217      1.0802227544     31.9959473684
          7.236      1.0433282420     32.1921052632
          7.255      1.0635051099     32.3911578947
          7.273      1.0824922685     32.5928421053
          7.292      1.0508949899     32.7877368421
          7.310      1.0196116603     32.9759473684
          7.329      1.0273180603     33.1646842105
          7.348      1.0380152087     33.3544736842
          7.366      1.0436483963     33.5443684211
          7.385      1.0473414632     33.7340000000
          7.404      1.0592907986     33.9248421053
          7.422      0.9630569567     34.0974736842
          7.441      0.9783181611     34.2719473684
          7.459      0.9480907344     34.4401578947
          7.478      0.9315993549     34.6045789474
          7.497      0.9566406741     34.7725263158
          7.515      0.9105544194     34.9315263158
          7.534      0.9134004884     35.0901578947
          7.553      0.8891932840     35.2437368421
          7.571      0.9107162775     35.4001578947
          7.590      0.8964630101     35.5532631579
          7.608      0.8830125246     35.7032105263
          7.627      0.8825349407     35.8522105263
          7.646      0.9009021587     36.0034210526
          7.664      0.8690532546     36.1484210526
          7.683      0.8993748539     36.2975789474
          7.702      0.8882760691     36.4440000000
          7.720      0.9483998802     36.5993684211
          7.739      0.9404550838     36.7524736842
          7.757      0.9662854487     36.9087894737
          7.776      0.9774262560     37.0658947368
          7.795      0.9900722232     37.2240000000
          7.813      1.0035911379     37.3832105263
          7.832      1.0076485061     37.5420000000
          7.851      1.0077696514     37.6997368421
          7.869      1.0363769703     37.8608421053
          7.888      1.0251974793     38.0191052632
          7.906      1.0214596743     38.1756842105
          7.925      1.0339672589     38.3330526316
          7.944      1.0550623723     38.4924736842
          7.962      1.0866908329     38.6554736842
          7.981      1.1008110830     38.8193684211
          8.000      1.0767279067     38.9784736842
          8.018      1.0731433067     39.1358421053
          8.037      1.1216385646     39.2990526316
          8.055      1.1465242609     39.4645789474
          8.074      1.1880300833     39.6347368421
          8.093      1.1884033306     39.8035789474
          8.111      1.1582135155     39.9667894737
          8.130      1.1358635095     40.1255263158
          8.149      1.1306630624     40.2822105263
          8.167      1.0890390636     40.4318421053
          8.186      1.0853862835     40.5796842105
          8.204      1.0844526629     40.7261052632
          8.223      1.0733316972     40.8697368421
          8.242      1.0477762776     41.0086842105
          8.260      1.0598568481     41.1479473684
          8.279      1.0313839758     41.2822105263
          8.298      1.0260981397     41.4145263158
          8.316      1.0529088614     41.5490000000
          8.335      1.0661522644     41.6838421053
          8.353      1.1225862084     41.8244210526
          8.372      1.0027633096     41.9487368421
          8.391      1.0070661268     42.0723157895
          8.409      1.0180158974     42.1959473684
          8.428      0.9762595224     42.3132631579
          8.447      0.9943114946     42.4314736842
          8.465      0.9792491677     42.5466315789
          8.484      0.9240861318     42.6541052632
          8.502      0.9263128823     42.7606315789
          8.521      0.9175359566     42.8649473684
          8.540      0.8711412791     42.9628421053
          8.558      0.8526077311     43.0575263158
