# r/g(r)/dn[At1,At2]:      g(r)[ N, C]            dn(r)
          8.558      1.1454043160     44.2305833333
          8.577      1.0798112193     44.3540000000
          8.596      1.0864826462     44.4766666667
          8.614      1.0522854490     44.5940000000
          8.633      1.0676191640     44.7115416667
          8.651      1.0784366505     44.8287500000
          8.670      1.1043726403     44.9472083333
          8.689      1.0031304728     45.0533750000
          8.707      1.0268939851     45.1605833333
          8.726      1.0635331336     45.2700833333
          8.745      1.0257637691     45.3742083333
          8.763      0.9519894046     45.4694583333
          8.782      0.9661180750     45.5647083333
          8.800      0.9331227772     45.6553333333
          8.819      1.0224686301     45.7531250000
          8.838      0.9593785048     45.8434583333
          8.856      0.9595336440     45.9323750000
          8.875      0.9999875678     46.0235416667
          8.894      0.9410346566     46.1079166667
          8.912      1.0380153395     46.1994166667
          8.931      1.1043271744     46.2950833333
          8.949      1.1011330125     46.3887916667
          8.968      1.1373048397     46.4838333333
          8.987      1.1185470199     46.5755833333
          9.005      1.1752759841     46.6701666667
          9.024      1.1451188571     46.7605416667
          9.043      1.1682512242     46.8509166667
          9.061      1.1539654408     46.9383750000
          9.080      1.2301395356     47.0296666667
          9.098      1.2604114289     47.1212083333
          9.117      1.2311616706     47.2086666667
          9.136      1.3015024020     47.2990416667
          9.154      1.3187907397     47.3885000000
          9.173      1.3301394745     47.4765833333
          9.192      1.3415573826     47.5632500000
          9.210      1.3252647904     47.6467083333
          9.229      1.3829786522     47.7315416667
          9.247      1.2904777446     47.8085833333
          9.266      1.2912254524     47.8835416667
          9.285      1.2448958299     47.9537500000
          9.303      1.2469235163     48.0220000000
